GEOid,GEOid2,GEOdisplay_label,HD01_S076,HD02_S076,HD01_S077,HD02_S077,HD01_S078,HD02_S078,HD01_S079,HD02_S079,HD01_S080,HD02_S080,HD01_S081,HD02_S081,HD01_S082,HD02_S082,HD01_S083,HD02_S083,HD01_S084,HD02_S084,HD01_S085,HD02_S085,HD01_S086,HD02_S086,HD01_S087,HD02_S087,HD01_S088,HD02_S088,HD01_S089,HD02_S089,HD01_S090,HD02_S090,HD01_S091,HD02_S091,HD01_S092,HD02_S092,HD01_S093,HD02_S093,HD01_S094,HD02_S094,HD01_S095,HD02_S095,HD01_S096,HD02_S096,HD01_S097,HD02_S097,HD01_S098,HD02_S098,HD01_S099,HD02_S099,HD01_S100,HD02_S100,HD01_S101,HD02_S101,HD01_S102,HD02_S102,HD01_S103,HD02_S103,HD01_S104,HD02_S104,HD01_S105,HD02_S105,HD01_S106,HD02_S106,HD01_S107,HD02_S107,HD01_S108,HD02_S108,HD01_S109,HD02_S109,HD01_S110,HD02_S110,HD01_S111,HD02_S111,HD01_S112,HD02_S112,HD01_S113,HD02_S113,HD01_S114,HD02_S114,HD01_S115,HD02_S115,HD01_S116,HD02_S116,HD01_S117,HD02_S117,HD01_S118,HD02_S118,HD01_S119,HD02_S119,HD01_S120,HD02_S120,HD01_S121,HD02_S121,HD01_S122,HD02_S122,HD01_S123,HD02_S123,HD01_S124,HD02_S124,HD01_S125,HD02_S125,HD01_S126,HD02_S126,HD01_S127,HD02_S127,HD01_S128,HD02_S128,HD01_S129,HD02_S129
1400000US36047029400,36047029400,"Census Tract 294, Kings County, New York",2321,100.0,2265,97.6,1524,65.7,61,2.6,15,0.6,590,25.4,28,1.2,393,16.9,29,1.2,0,0.0,7,0.3,12,0.5,121,5.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,3.2,56,2.4,4,0.2,28,1.2,5,0.2,15,0.6,1576,67.9,70,3.0,19,0.8,619,26.7,0,0.0,93,4.0,2321,100.0,203,8.7,56,2.4,72,3.1,7,0.3,68,2.9,2118,91.3,2321,100.0,203,8.7,104,4.5,4,0.2,11,0.5,5,0.2,0,0.0,68,2.9,11,0.5,2118,91.3,1420,61.2,57,2.5,4,0.2,585,25.2,0,0.0,7,0.3,45,1.9
1400000US36047029500,36047029500,"Census Tract 295, Kings County, New York",3425,100.0,3303,96.4,248,7.2,2893,84.5,11,0.3,58,1.7,6,0.2,8,0.2,2,0.1,1,0.0,5,0.1,0,0.0,36,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,93,2.7,122,3.6,2,0.1,5,0.1,25,0.7,3,0.1,298,8.7,2997,87.5,52,1.5,89,2.6,6,0.2,126,3.7,3425,100.0,320,9.3,18,0.5,139,4.1,20,0.6,143,4.2,3105,90.7,3425,100.0,320,9.3,57,1.7,125,3.6,4,0.1,0,0.0,0,0.0,82,2.4,52,1.5,3105,90.7,191,5.6,2768,80.8,7,0.2,58,1.7,0,0.0,11,0.3,70,2.0
1400000US36047029600,36047029600,"Census Tract 296, Kings County, New York",5546,100.0,5402,97.4,3683,66.4,35,0.6,9,0.2,1387,25.0,13,0.2,1095,19.7,8,0.1,2,0.0,36,0.6,14,0.3,219,3.9,6,0.1,0,0.0,6,0.1,0,0.0,0,0.0,282,5.1,144,2.6,4,0.1,85,1.5,3,0.1,30,0.5,3812,68.7,41,0.7,22,0.4,1485,26.8,14,0.3,328,5.9,5546,100.0,556,10.0,223,4.0,147,2.7,6,0.1,180,3.2,4990,90.0,5546,100.0,556,10.0,240,4.3,0,0.0,4,0.1,2,0.0,0,0.0,275,5.0,35,0.6,4990,90.0,3443,62.1,35,0.6,5,0.1,1385,25.0,6,0.1,7,0.1,109,2.0
1400000US36047029700,36047029700,"Census Tract 297, Kings County, New York",3344,100.0,3251,97.2,243,7.3,2924,87.4,9,0.3,31,0.9,12,0.4,5,0.1,0,0.0,5,0.1,5,0.1,0,0.0,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44,1.3,93,2.8,0,0.0,0,0.0,32,1.0,3,0.1,285,8.5,3014,90.1,31,0.9,41,1.2,2,0.1,72,2.2,3344,100.0,205,6.1,6,0.2,106,3.2,9,0.3,84,2.5,3139,93.9,3344,100.0,205,6.1,33,1.0,97,2.9,3,0.1,1,0.0,0,0.0,39,1.2,32,1.0,3139,93.9,210,6.3,2827,84.5,6,0.2,30,0.9,0,0.0,5,0.1,61,1.8
1400000US36047029800,36047029800,"Census Tract 298, Kings County, New York",3717,100.0,3665,98.6,2028,54.6,48,1.3,10,0.3,1209,32.5,17,0.5,1028,27.7,14,0.4,0,0.0,8,0.2,32,0.9,110,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,370,10.0,52,1.4,1,0.0,9,0.2,16,0.4,19,0.5,2073,55.8,64,1.7,13,0.3,1224,32.9,0,0.0,395,10.6,3717,100.0,672,18.1,246,6.6,125,3.4,3,0.1,298,8.0,3045,81.9,3717,100.0,672,18.1,252,6.8,8,0.2,10,0.3,5,0.1,0,0.0,365,9.8,32,0.9,3045,81.9,1776,47.8,40,1.1,0,0.0,1204,32.4,0,0.0,5,0.1,20,0.5
1400000US36047029900,36047029900,"Census Tract 299, Kings County, New York",2579,100.0,2517,97.6,128,5.0,2059,79.8,6,0.2,78,3.0,7,0.3,32,1.2,2,0.1,2,0.1,0,0.0,0,0.0,35,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,246,9.5,62,2.4,0,0.0,0,0.0,12,0.5,21,0.8,161,6.2,2094,81.2,16,0.6,84,3.3,3,0.1,283,11.0,2579,100.0,497,19.3,32,1.2,192,7.4,33,1.3,240,9.3,2082,80.7,2579,100.0,497,19.3,78,3.0,129,5.0,4,0.2,0,0.0,0,0.0,240,9.3,46,1.8,2082,80.7,50,1.9,1930,74.8,2,0.1,78,3.0,0,0.0,6,0.2,16,0.6
1400000US36047030000,36047030000,"Census Tract 300, Kings County, New York",4120,100.0,4040,98.1,1791,43.5,26,0.6,16,0.4,2000,48.5,5,0.1,1756,42.6,24,0.6,2,0.0,8,0.2,60,1.5,145,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,207,5.0,80,1.9,1,0.0,25,0.6,5,0.1,21,0.5,1846,44.8,46,1.1,22,0.5,2045,49.6,2,0.0,243,5.9,4120,100.0,419,10.2,119,2.9,113,2.7,4,0.1,183,4.4,3701,89.8,4120,100.0,419,10.2,170,4.1,6,0.1,15,0.4,4,0.1,0,0.0,193,4.7,31,0.8,3701,89.8,1621,39.3,20,0.5,1,0.0,1996,48.4,0,0.0,14,0.3,49,1.2
1400000US36047030100,36047030100,"Census Tract 301, Kings County, New York",2750,100.0,2683,97.6,165,6.0,2366,86.0,12,0.4,19,0.7,9,0.3,2,0.1,3,0.1,0,0.0,1,0.0,0,0.0,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,121,4.4,67,2.4,0,0.0,0,0.0,20,0.7,3,0.1,195,7.1,2429,88.3,31,1.1,27,1.0,0,0.0,142,5.2,2750,100.0,325,11.8,38,1.4,185,6.7,4,0.1,98,3.6,2425,88.2,2750,100.0,325,11.8,103,3.7,79,2.9,1,0.0,0,0.0,0,0.0,118,4.3,24,0.9,2425,88.2,62,2.3,2287,83.2,11,0.4,19,0.7,0,0.0,3,0.1,43,1.6
1400000US36047030200,36047030200,"Census Tract 302, Kings County, New York",4214,100.0,4165,98.8,1921,45.6,18,0.4,1,0.0,2089,49.6,32,0.8,1938,46.0,17,0.4,0,0.0,9,0.2,29,0.7,64,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,136,3.2,49,1.2,1,0.0,24,0.6,6,0.1,9,0.2,1961,46.5,27,0.6,3,0.1,2121,50.3,4,0.1,147,3.5,4214,100.0,271,6.4,54,1.3,98,2.3,7,0.2,112,2.7,3943,93.6,4214,100.0,271,6.4,122,2.9,5,0.1,0,0.0,2,0.0,0,0.0,133,3.2,9,0.2,3943,93.6,1799,42.7,13,0.3,1,0.0,2087,49.5,0,0.0,3,0.1,40,0.9
1400000US36047030300,36047030300,"Census Tract 303, Kings County, New York",4458,100.0,4370,98.0,166,3.7,3898,87.4,23,0.5,48,1.1,5,0.1,24,0.5,2,0.0,0,0.0,2,0.0,0,0.0,15,0.3,6,0.1,0,0.0,0,0.0,0,0.0,6,0.1,229,5.1,88,2.0,0,0.0,1,0.0,14,0.3,14,0.3,200,4.5,3963,88.9,42,0.9,57,1.3,36,0.8,263,5.9,4458,100.0,667,15.0,25,0.6,357,8.0,9,0.2,276,6.2,3791,85.0,4458,100.0,667,15.0,122,2.7,291,6.5,14,0.3,2,0.0,5,0.1,202,4.5,31,0.7,3791,85.0,44,1.0,3607,80.9,9,0.2,46,1.0,1,0.0,27,0.6,57,1.3
