Borough,District,Number,Tract,Total,White,Black_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_Other_Race,Multiple,Hispanic
Brooklyn,047,3,114202,"2,766",63,928,14,42,0,18,48,"1,653"
Brooklyn,047,3,114400,"2,403",42,"1,354",8,38,8,18,29,906
Brooklyn,047,3,114600,"2,998",50,835,9,138,1,31,57,"1,877"
Brooklyn,047,3,115000,"2,595",27,"1,330",6,28,0,18,42,"1,144"
Brooklyn,047,3,115200,"3,094",23,"1,973",16,55,3,13,40,971
Brooklyn,047,3,115600,"4,315",48,"2,604",7,53,0,14,43,"1,546"
Brooklyn,047,3,115800,"2,983",20,"2,058",3,10,0,18,27,847
Brooklyn,047,3,116000,"2,543",17,"1,730",2,0,1,11,36,746
Brooklyn,047,3,116200,"2,157",12,"1,670",8,2,4,5,45,411
Brooklyn,047,3,116400,"2,921",10,"1,937",2,46,1,42,30,853
Brooklyn,047,3,116600,"2,907",36,"1,508",2,85,0,26,30,"1,220"
Brooklyn,047,3,116800,"2,057",36,569,12,82,0,64,45,"1,249"
Brooklyn,047,3,117000,"1,880",32,383,15,138,3,48,37,"1,224"
Brooklyn,047,3,117201,"2,713",77,493,3,104,1,98,40,"1,897"
Brooklyn,047,3,117202,"3,907",97,944,15,165,0,123,58,"2,505"
Brooklyn,047,3,117400,"4,329",118,798,31,212,4,161,53,"2,952"
Brooklyn,047,3,117601,"2,750",95,435,26,122,0,114,48,"1,910"
Brooklyn,047,3,117602,"3,313",130,511,4,216,0,130,86,"2,236"
Brooklyn,047,3,117800,"1,717",44,263,18,287,0,81,65,959
Brooklyn,047,3,118000,6,0,5,0,0,0,1,0,0
Brooklyn,047,3,118201,"3,002",135,427,14,193,3,63,98,"2,069"
Brooklyn,047,3,118202,"3,083",87,397,7,265,0,112,61,"2,154"
Brooklyn,047,3,118400,"5,420",198,697,35,539,4,132,131,"3,684"
Brooklyn,047,3,118600,"2,969",91,472,20,459,0,158,69,"1,700"
Brooklyn,047,3,118800,"4,651",148,664,63,"1,643",4,233,178,"1,718"
Brooklyn,047,3,119000,"2,127",40,586,24,356,3,141,71,906
Brooklyn,047,3,119200,"3,013",33,"1,352",5,130,6,14,19,"1,454"
Brooklyn,047,3,119400,"3,914",24,"2,502",4,91,0,29,45,"1,219"
Brooklyn,047,3,119600,"5,403",80,"2,356",27,"1,095",2,99,142,"1,602"
Brooklyn,047,3,119800,"3,426",135,"1,167",7,90,5,38,41,"1,943"
Brooklyn,047,3,120000,"2,148",60,948,7,392,0,64,84,593
Brooklyn,047,3,120200,"1,900",43,275,30,919,10,130,76,417
Brooklyn,047,3,120800,"8,938",174,"6,480",49,259,0,50,117,"1,809"
Brooklyn,047,3,121000,"4,035",26,"1,973",8,22,0,20,38,"1,948"
Brooklyn,047,3,121400,"4,351",40,"2,627",6,18,0,11,32,"1,617"
Brooklyn,047,3,122000,"5,495",100,"4,173",13,65,1,24,77,"1,042"
Brooklyn,047,3,123700,"6,008","4,703",182,2,38,20,33,42,988
Brooklyn,047,3,150200,"2,540","1,762",67,1,201,0,16,54,439
Brooklyn,047,3,152200,"3,317","1,294",691,23,660,0,44,77,528
Brooklyn,047,3,990100,0,0,0,0,0,0,0,0,0
