Borough,District,Number,Tract,Total,White,Black_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_Other_Race,Multiple,Hispanic
Brooklyn,047,3,028400,"4,003","2,160",25,3,"1,019",0,12,70,714
Brooklyn,047,3,028501,428,81,74,4,11,0,2,7,249
Brooklyn,047,3,028502,"2,802",11,"1,389",5,8,0,0,24,"1,365"
Brooklyn,047,3,028600,"4,814","2,888",126,3,"1,121",0,12,53,611
Brooklyn,047,3,028700,"2,991",281,"1,214",9,255,0,4,29,"1,199"
Brooklyn,047,3,028800,"3,458","1,526",32,1,"1,207",0,9,31,652
Brooklyn,047,3,028900,"3,538",161,"2,114",7,85,0,15,48,"1,108"
Brooklyn,047,3,029000,"3,920","2,685",31,1,725,1,9,52,416
Brooklyn,047,3,029100,"3,101",88,"2,461",8,31,0,6,43,464
Brooklyn,047,3,029200,"2,539","1,375",24,0,685,2,8,33,412
Brooklyn,047,3,029300,"3,106",56,"2,485",14,55,0,14,36,446
Brooklyn,047,3,029400,"2,321","1,420",57,4,585,0,7,45,203
Brooklyn,047,3,029500,"3,425",191,"2,768",7,58,0,11,70,320
Brooklyn,047,3,029600,"5,546","3,443",35,5,"1,385",6,7,109,556
Brooklyn,047,3,029700,"3,344",210,"2,827",6,30,0,5,61,205
Brooklyn,047,3,029800,"3,717","1,776",40,0,"1,204",0,5,20,672
Brooklyn,047,3,029900,"2,579",50,"1,930",2,78,0,6,16,497
Brooklyn,047,3,030000,"4,120","1,621",20,1,"1,996",0,14,49,419
Brooklyn,047,3,030100,"2,750",62,"2,287",11,19,0,3,43,325
Brooklyn,047,3,030200,"4,214","1,799",13,1,"2,087",0,3,40,271
Brooklyn,047,3,030300,"4,458",44,"3,607",9,46,1,27,57,667
Brooklyn,047,3,030400,"4,281","2,009",65,3,"1,705",2,8,43,446
Brooklyn,047,3,030500,"5,549","1,540","2,569",6,358,3,31,158,884
Brooklyn,047,3,030600,"2,005",925,9,0,687,0,4,50,330
Brooklyn,047,3,030700,"4,544",56,"3,755",8,9,1,5,73,637
Brooklyn,047,3,030800,"1,949","1,214",24,0,455,0,5,12,239
Brooklyn,047,3,030900,"1,754",20,"1,416",1,17,0,7,12,281
